"Pick","Team","Player","College","Year"
"48","WAS","Vladimir Veremeenko","","2006"
"49","DEN","Leon Powe","University of California","2006"
"50","CHA","Ryan Hollins","University of California, Los Angeles","2006"
"51","LAL","Cheikh Samb","","2006"
"52","LAC","Guillermo Diaz","University of Miami","2006"
"53","SEA","Yotam Halperin","","2006"
"54","NJN","Hassan Adams","University of Arizona","2006"
"55","CLE","Ejike Ugboaja","","2006"
"56","TOR","Edin Bavcic","","2006"
"57","MIN","Loukas Mavrokefalidis","","2006"
"58","DAL","J.R. Pinnock","George Washington University","2006"
"59","SAS","Damir Markota","","2006"
"60","DET","Will Blalock","Iowa State University","2006"
"1","POR","Greg Oden","Ohio State University","2007"
"2","SEA","Kevin Durant","University of Texas at Austin","2007"
"3","ATL","Al Horford","University of Florida","2007"
"4","MEM","Mike Conley","Ohio State University","2007"
"5","BOS","Jeff Green","Georgetown University","2007"
"6","MIL","Yi Jianlian","","2007"
"7","MIN","Corey Brewer","University of Florida","2007"
"8","CHA","Brandan Wright","University of North Carolina","2007"
"9","CHI","Joakim Noah","University of Florida","2007"
"10","SAC","Spencer Hawes","University of Washington","2007"
"11","ATL","Acie Law","Texas A&M University","2007"
"12","PHI","Thaddeus Young","Georgia Institute of Technology","2007"
"13","NOK","Julian Wright","University of Kansas","2007"
"14","LAC","Al Thornton","Florida State University","2007"
"15","DET","Rodney Stuckey","Eastern Washington University","2007"
"16","WAS","Nick Young","University of Southern California","2007"
"17","NJN","Sean Williams","Boston College","2007"
"18","GSW","Marco Belinelli","","2007"
"19","LAL","Javaris Crittenton","Georgia Institute of Technology","2007"
"20","MIA","Jason Smith","Colorado State University","2007"
"21","PHI","Daequan Cook","Ohio State University","2007"
"22","CHA","Jared Dudley","Boston College","2007"
"23","NYK","Wilson Chandler","DePaul University","2007"
"24","PHO","Rudy Fernandez","","2007"
"25","UTA","Morris Almond","Rice University","2007"
"26","HOU","Aaron Brooks","University of Oregon","2007"
"27","DET","Arron Afflalo","University of California, Los Angeles","2007"
"28","SAS","Tiago Splitter","","2007"
"29","PHO","Alando Tucker","University of Wisconsin","2007"
"30","PHI","Petteri Koponen","","2007"
"31","SEA","Carl Landry","Purdue University","2007"
"32","BOS","Gabe Pruitt","University of Southern California","2007"
"33","SAS","Marcus Williams","University of Arizona","2007"
"34","DAL","Nick Fazekas","University of Nevada, Reno","2007"
"35","SEA","Glen Davis","Louisiana State University","2007"
"36","GSW","Jermareo Davidson","University of Alabama","2007"
"37","POR","Josh McRoberts","Duke University","2007"
"38","PHI","Kyrylo Fesenko","","2007"
"39","MIA","Stanko Barac","","2007"
"40","LAL","Sun Yue","","2007"
"41","MIN","Chris Richard","University of Florida","2007"
"42","POR","Derrick Byars","Vanderbilt University","2007"
"43","NOK","Adam Haluska","University of Iowa","2007"
"44","ORL","Reyshawn Terry","University of North Carolina","2007"
"45","LAC","Jared Jordan","Marist College","2007"
"46","GSW","Stephane Lasme","University of Massachusetts Amherst","2007"
"47","WAS","Dominic McGuire","California State University, Fresno","2007"
"48","LAL","Marc Gasol","","2007"
"49","CHI","Aaron Gray","University of Pittsburgh","2007"
"50","DAL","Renaldas Seibutis","","2007"
"51","CHI","JamesOn Curry","Oklahoma State University","2007"
