"Player","Pos","Season","Age","Tm","effMin","eff3PA","eff3PM","eff2PA","eff2PM","effFTA","effFTM","effORB","effDRB","effAST","effSTL","effBLK","effTOV","effPF","effPTS","x","y"
"A.J. Price","PG","2014-2015",28,"TOT",0.260416666666667,0.00214634146341463,0.000585365853658537,0.00302439024390244,0.00136585365853659,0.000878048780487805,0.000585365853658537,0.000195121951219512,0.000975609756097561,0.00175609756097561,0.000292682926829268,0,0.00048780487804878,0.000585365853658537,0.00497560975609756,41.3062749600444,27.9728075532626
"Aaron Brooks","PG","2007-2008",23,"HOU",0.247916666666667,0.00215208034433285,0.000717360114777618,0.00235704037712646,0.00112728018036483,0.00102480016396803,0.000819840131174421,0.000307440049190408,0.000819840131174421,0.00174216027874564,0.000307440049190408,0.000102480016396803,0.000922320147571224,0.00143472022955524,0.00532896085263374,24.0180067603289,35.8584158133822
"Aaron Brooks","PG","2013-2014",29,"TOT",0.45,0.00191960252935863,0.000733965672990063,0.00259710930442638,0.00107271906052394,0.000733965672990063,0.000677506775067751,0.000338753387533875,0.000733965672990063,0.001806684733514,0.000395212285456188,0.000112917795844625,0.000903342366757001,0.00112917795844625,0.00508130081300813,22.4000828777384,20.6561887863991
"Aaron Brooks","PG","2008-2009",24,"HOU",0.520833333333333,0.00190243902439024,0.000682926829268293,0.00287804878048781,0.00121951219512195,0.00107317073170732,0.000926829268292683,0.000195121951219512,0.000780487804878049,0.00146341463414634,0.000292682926829268,0.0000487804878048781,0.000780487804878049,0.000926829268292683,0.00546341463414634,21.9092304855408,20.652030024125
"Aaron Brooks","PG","2009-2010",25,"HOU",0.741666666666667,0.00219238147437654,0.000856399013428336,0.00335708413263908,0.00154151822417101,0.0012332145793368,0.001027678816114,0.000239791723759934,0.000685119210742669,0.00181556590846807,0.000274047684297068,0.0000685119210742669,0.000959166895039737,0.000822143052891203,0.00671416826527816,22.1625763830373,19.2236929071805
"Aaron Brooks","PG","2010-2011",26,"TOT",0.454166666666667,0.00223763705526964,0.000671291116580891,0.00330051465652271,0.00139852315954352,0.00134258223316178,0.00117475945401656,0.000167822779145223,0.000559409263817409,0.00218169612888789,0.000335645558290445,0.0000559409263817409,0.000950995748489595,0.00106287760125308,0.00598567912284627,44.1795395389353,13.2491616121361
"Aaron Brooks","PG","2012-2013",28,"TOT",0.391666666666667,0.00162169174883238,0.000583809029579657,0.00220550077841204,0.00116761805915931,0.000648676699532953,0.000518941359626362,0.000129735339906591,0.000843279709392839,0.0014270887389725,0.000389206019719772,0.000129735339906591,0.000843279709392839,0.00116761805915931,0.00460560456668396,26.720537090242,21.5680654163329
"Aaron Brooks","PG","2014-2015",30,"CHI",0.479166666666667,0.00201484623541888,0.000795334040296925,0.00323435843054083,0.00143160127253446,0.00111346765641569,0.00095440084835631,0.000212089077412513,0.000848356309650053,0.00169671261930011,0.000371155885471898,0.000106044538706257,0.00100742311770944,0.00121951219512195,0.00615058324496288,23.2539027224153,18.8468544160913
"Aaron Brooks","PG","2015-2016",31,"CHI",0.335416666666667,0.00204514467504923,0.000757460990758976,0.0031055900621118,0.00136342978336616,0.000681714891683078,0.000530222693531283,0.000227238297227693,0.000908953188910771,0.00196939857597334,0.00030298439630359,0.0000757460990758976,0.000908953188910771,0.00143917588244205,0.00537797303438873,29.6431993376934,24.675709801956
"Aaron Brooks","PG","2016-2017",32,"IND",0.2875,0.00176740897843761,0.000618593142453164,0.00229763167196889,0.000972074938140686,0.000530222693531283,0.000441852244609403,0.000265111346765642,0.000706963591375044,0.00167903852951573,0.000353481795687522,0.0000883704489218805,0.000883704489218805,0.00123718628490633,0.00441852244609403,23.5433804161137,34.8622667460403
